Date,Production_Line,Shift,Units_Produced,Defective_Units,Downtime_Minutes,Inventory_Level
2024-01-01,Line_A,Shift_1,502,33,24,2130
2024-01-01,Line_A,Shift_2,471,25,112,3169
2024-01-01,Line_A,Shift_3,614,15,84,3135
2024-01-01,Line_B,Shift_1,772,28,12,2685
2024-01-01,Line_B,Shift_2,708,6,97,2515
2024-01-01,Line_B,Shift_3,693,6,73,1955
2024-01-01,Line_C,Shift_1,676,37,85,4385
2024-01-01,Line_C,Shift_2,421,29,58,1474
2024-01-01,Line_C,Shift_3,458,32,69,1975
2024-01-02,Line_A,Shift_1,670,7,110,4890
2024-01-02,Line_A,Shift_2,534,25,82,3214
2024-01-02,Line_A,Shift_3,673,8,98,3363
2024-01-02,Line_B,Shift_1,413,13,99,3612
2024-01-02,Line_B,Shift_2,785,24,101,2390
2024-01-02,Line_B,Shift_3,663,39,87,4152
2024-01-02,Line_C,Shift_1,449,8,11,2021
2024-01-02,Line_C,Shift_2,789,8,63,2500
2024-01-02,Line_C,Shift_3,590,22,99,2579
2024-01-03,Line_A,Shift_1,561,14,71,1995
2024-01-03,Line_A,Shift_2,669,35,57,4342
2024-01-03,Line_A,Shift_3,614,25,89,4820
2024-01-03,Line_B,Shift_1,737,28,35,3264
2024-01-03,Line_B,Shift_2,651,33,24,4884
2024-01-03,Line_B,Shift_3,464,29,80,3568
2024-01-03,Line_C,Shift_1,743,5,117,3695
2024-01-03,Line_C,Shift_2,462,15,90,1391
2024-01-03,Line_C,Shift_3,562,39,42,1378
2024-01-04,Line_A,Shift_1,660,32,16,1200
2024-01-04,Line_A,Shift_2,727,16,43,4104
2024-01-04,Line_A,Shift_3,447,27,71,2751
2024-01-04,Line_B,Shift_1,692,39,53,2895
2024-01-04,Line_B,Shift_2,613,31,44,1960
2024-01-04,Line_B,Shift_3,626,18,12,4840
2024-01-04,Line_C,Shift_1,404,30,23,1870
2024-01-04,Line_C,Shift_2,682,13,88,2038
2024-01-04,Line_C,Shift_3,745,17,60,4646
2024-01-05,Line_A,Shift_1,751,36,13,2757
2024-01-05,Line_A,Shift_2,630,19,52,1540
2024-01-05,Line_A,Shift_3,435,17,41,4910
2024-01-05,Line_B,Shift_1,586,26,37,3625
2024-01-05,Line_B,Shift_2,569,10,37,2051
2024-01-05,Line_B,Shift_3,507,24,39,2981
2024-01-05,Line_C,Shift_1,730,32,98,4302
2024-01-05,Line_C,Shift_2,589,37,10,2400
2024-01-05,Line_C,Shift_3,682,17,114,2282
2024-01-06,Line_A,Shift_1,758,10,81,2434
2024-01-06,Line_A,Shift_2,536,37,60,2257
2024-01-06,Line_A,Shift_3,571,28,88,4898
2024-01-06,Line_B,Shift_1,773,36,105,2495
2024-01-06,Line_B,Shift_2,632,16,48,4457
2024-01-06,Line_B,Shift_3,786,21,68,3160
2024-01-06,Line_C,Shift_1,401,6,101,2589
2024-01-06,Line_C,Shift_2,742,36,106,3432
2024-01-06,Line_C,Shift_3,525,6,62,2707
2024-01-07,Line_A,Shift_1,617,36,79,2439
2024-01-07,Line_A,Shift_2,646,8,64,1202
2024-01-07,Line_A,Shift_3,583,21,47,3327
2024-01-07,Line_B,Shift_1,724,38,79,4029
2024-01-07,Line_B,Shift_2,794,20,106,4272
2024-01-07,Line_B,Shift_3,523,10,89,4420
2024-01-07,Line_C,Shift_1,658,24,68,2955
2024-01-07,Line_C,Shift_2,745,7,28,4219
2024-01-07,Line_C,Shift_3,751,11,61,1488
2024-01-08,Line_A,Shift_1,527,22,113,1640
2024-01-08,Line_A,Shift_2,666,32,66,3520
2024-01-08,Line_A,Shift_3,550,35,103,4369
2024-01-08,Line_B,Shift_1,498,11,25,3393
2024-01-08,Line_B,Shift_2,511,6,10,2327
2024-01-08,Line_B,Shift_3,653,16,78,4108
2024-01-08,Line_C,Shift_1,559,13,114,4170
2024-01-08,Line_C,Shift_2,546,20,12,1403
2024-01-08,Line_C,Shift_3,551,37,33,1627
2024-01-09,Line_A,Shift_1,474,12,45,2445
2024-01-09,Line_A,Shift_2,503,24,108,4183
2024-01-09,Line_A,Shift_3,498,29,102,3961
2024-01-09,Line_B,Shift_1,783,22,75,3869
2024-01-09,Line_B,Shift_2,562,20,70,2704
2024-01-09,Line_B,Shift_3,560,8,42,1397
2024-01-09,Line_C,Shift_1,676,24,17,2158
2024-01-09,Line_C,Shift_2,594,21,42,3735
